x,y,rho,contact,casualty,pressure
2.62,0.12,0.3121,0.0138,0.00000,0.22121
2.88,0.12,0.6136,0.0235,0.00000,0.39440
3.12,0.12,0.8623,0.0326,0.00000,0.50913
3.38,0.12,0.9236,0.0410,0.00000,0.52563
3.62,0.12,1.0186,0.0448,0.00000,0.54889
3.88,0.12,1.1741,0.0404,0.00000,0.58585
4.12,0.12,1.2118,0.0271,0.00000,0.55427
4.38,0.12,1.2215,0.0153,0.00000,0.50723
4.62,0.12,1.2951,0.0093,0.00000,0.49375
4.88,0.12,1.3494,0.0084,0.00000,0.47823
5.12,0.12,1.3317,0.0113,0.00000,0.43749
5.38,0.12,1.2912,0.0148,0.00000,0.39267
5.62,0.12,1.2827,0.0199,0.00000,0.36839
5.88,0.12,1.2834,0.0245,0.00000,0.35844
6.12,0.12,1.3210,0.0196,0.00000,0.36702
6.38,0.12,1.3671,0.0287,0.00000,0.37750
6.62,0.12,1.3354,0.1292,0.00000,0.37101
6.88,0.12,1.3376,1.0492,0.00000,0.38852
7.12,0.12,1.1312,4.6467,0.00000,0.36121
7.38,0.12,0.6772,10.1104,0.00000,0.23755
2.62,0.38,0.5913,0.0193,0.00000,0.38153
2.88,0.38,1.1575,0.0346,0.00000,0.68213
3.12,0.38,1.5575,0.0530,0.00000,0.85456
3.38,0.38,1.4908,0.0692,0.00000,0.80885
3.62,0.38,1.4747,0.0692,0.00000,0.78121
3.88,0.38,1.6351,0.0569,0.00000,0.81147
4.12,0.38,1.6335,0.0427,0.00000,0.74567
4.38,0.38,1.5914,0.0324,0.00000,0.65381
4.62,0.38,1.6522,0.0253,0.00000,0.60744
4.88,0.38,1.6982,0.0225,0.00000,0.56499
5.12,0.38,1.6866,0.0213,0.00000,0.50600
5.38,0.38,1.6708,0.0211,0.00000,0.45540
5.62,0.38,1.6726,0.0212,0.00000,0.42928
5.88,0.38,1.6582,0.0220,0.00000,0.42036
6.12,0.38,1.7006,0.0225,0.00000,0.44079
6.38,0.38,1.7283,0.0443,0.00000,0.45623
6.62,0.38,1.6182,0.2051,0.00000,0.43357
6.88,0.38,1.7262,1.7939,0.00000,0.46561
7.12,0.38,1.6739,8.2179,0.00000,0.46978
7.38,0.38,1.0998,18.1076,0.00000,0.32607
2.62,0.62,0.7551,0.0124,0.00000,0.39696
2.88,0.62,1.4740,0.0257,0.00000,0.73345
3.12,0.62,1.9306,0.0488,0.00000,0.92773
3.38,0.62,1.7370,0.0703,0.00000,0.83042
3.62,0.62,1.6439,0.0668,0.00000,0.74541
3.88,0.62,1.8038,0.0522,0.00000,0.75892
4.12,0.62,1.7857,0.0436,0.00000,0.69709
4.38,0.62,1.7361,0.0402,0.00000,0.60627
4.62,0.62,1.7771,0.0371,0.00000,0.54346
4.88,0.62,1.7932,0.0327,0.00000,0.48848
5.12,0.62,1.7960,0.0238,0.00000,0.43964
5.38,0.62,1.8147,0.0200,0.00000,0.40488
5.62,0.62,1.8364,0.0212,0.00000,0.38380
5.88,0.62,1.8172,0.0225,0.00000,0.37378
6.12,0.62,1.8530,0.0286,0.00000,0.39658
6.38,0.62,1.8727,0.0534,0.00000,0.41381
6.62,0.62,1.6524,0.2246,0.00000,0.37195
6.88,0.62,1.8228,1.9836,0.00000,0.39665
7.12,0.62,2.0176,9.1731,0.00000,0.42884
7.38,0.62,1.4391,20.2860,0.00000,0.30956
2.62,0.88,0.8047,0.0036,0.00000,0.27703
2.88,0.88,1.4690,0.0106,0.00000,0.52370
3.12,0.88,1.8022,0.0279,0.00000,0.66858
3.38,0.88,1.6338,0.0442,0.00000,0.59101
3.62,0.88,1.6598,0.0395,0.00000,0.52536
3.88,0.88,1.7936,0.0279,0.00000,0.52666
4.12,0.88,1.7664,0.0231,0.00000,0.48733
4.38,0.88,1.7898,0.0238,0.00000,0.43886
4.62,0.88,1.8357,0.0260,0.00000,0.39764
4.88,0.88,1.8265,0.0241,0.00000,0.35665
5.12,0.88,1.8477,0.0160,0.00000,0.32950
5.38,0.88,1.8678,0.0154,0.00000,0.31414
5.62,0.88,1.8975,0.0225,0.00000,0.30483
5.88,0.88,1.9068,0.0297,0.00000,0.29667
6.12,0.88,1.9334,0.0375,0.00000,0.30673
6.38,0.88,2.0019,0.0440,0.00000,0.32010
6.62,0.88,1.7232,0.1806,0.00000,0.27209
6.88,0.88,1.8341,1.7646,0.00000,0.27543
7.12,0.88,2.1795,8.2489,0.00000,0.31415
7.38,0.88,1.6401,18.2755,0.00000,0.23508
2.62,1.12,1.0223,0.0016,0.00000,0.18857
2.88,1.12,1.6704,0.0062,0.00000,0.34416
3.12,1.12,1.8351,0.0156,0.00000,0.42621
3.38,1.12,1.7171,0.0217,0.00000,0.38999
3.62,1.12,1.9080,0.0176,0.00000,0.37789
