x,y,rho,contact,casualty,pressure
2.62,0.12,0.2700,0.0004,0.00000,0.03472
2.88,0.12,0.7581,0.0026,0.00000,0.07029
3.12,0.12,1.1823,0.0101,0.00000,0.10108
3.38,0.12,1.0218,0.0175,0.00000,0.10860
3.62,0.12,0.9159,0.0137,0.00000,0.11593
3.88,0.12,1.0772,0.0064,0.00000,0.12566
4.12,0.12,1.3685,0.0032,0.00000,0.12218
4.38,0.12,1.6545,0.0018,0.00000,0.11300
4.62,0.12,1.6012,0.0018,0.00000,0.10478
4.88,0.12,1.4278,0.0027,0.00000,0.09535
5.12,0.12,1.4527,0.0035,0.00000,0.08413
5.38,0.12,1.5021,0.0029,0.00000,0.06932
5.62,0.12,1.4515,0.0014,0.00000,0.05716
5.88,0.12,1.4432,0.0008,0.00000,0.05354
6.12,0.12,1.5089,0.0044,0.00000,0.05596
6.38,0.12,1.5742,0.0206,0.00000,0.06120
6.62,0.12,1.4862,0.0921,0.00000,0.06733
6.88,0.12,1.4950,0.7657,0.00000,0.07796
7.12,0.12,1.4405,3.5376,0.00000,0.07639
7.38,0.12,0.9660,7.8363,0.00000,0.05089
2.62,0.38,0.4931,0.0008,0.00000,0.06628
2.88,0.38,1.2623,0.0054,0.00000,0.13144
3.12,0.38,1.8933,0.0204,0.00000,0.18219
3.38,0.38,1.6760,0.0341,0.00000,0.18146
3.62,0.38,1.5309,0.0255,0.00000,0.17297
3.88,0.38,1.5647,0.0114,0.00000,0.17047
4.12,0.38,1.6602,0.0052,0.00000,0.15528
4.38,0.38,1.9026,0.0030,0.00000,0.13944
4.62,0.38,1.8875,0.0040,0.00000,0.12862
4.88,0.38,1.7239,0.0067,0.00000,0.11456
5.12,0.38,1.6750,0.0088,0.00000,0.09910
5.38,0.38,1.7417,0.0087,0.00000,0.08412
5.62,0.38,1.8023,0.0051,0.00000,0.07168
5.88,0.38,1.7931,0.0020,0.00000,0.06826
6.12,0.38,1.7862,0.0061,0.00000,0.07255
6.38,0.38,1.8181,0.0284,0.00000,0.07706
6.62,0.38,1.5869,0.1325,0.00000,0.07697
6.88,0.38,1.7001,1.1218,0.00000,0.08937
7.12,0.38,1.9359,5.1803,0.00000,0.09492
7.38,0.38,1.4148,11.4673,0.00000,0.06648
2.62,0.62,0.7196,0.0013,0.00000,0.08142
2.88,0.62,1.4800,0.0091,0.00000,0.15709
3.12,0.62,1.9632,0.0345,0.00000,0.20881
3.38,0.62,1.8425,0.0563,0.00000,0.19556
3.62,0.62,1.9207,0.0388,0.00000,0.17337
3.88,0.62,1.8902,0.0147,0.00000,0.16415
4.12,0.62,1.7627,0.0052,0.00000,0.15101
4.38,0.62,1.8204,0.0027,0.00000,0.13504
4.62,0.62,1.8805,0.0048,0.00000,0.11953
4.88,0.62,1.9282,0.0088,0.00000,0.10274
5.12,0.62,1.8555,0.0115,0.00000,0.08964
5.38,0.62,1.8174,0.0126,0.00000,0.08070
5.62,0.62,1.9153,0.0080,0.00000,0.07047
5.88,0.62,1.9849,0.0028,0.00000,0.06636
6.12,0.62,1.9864,0.0039,0.00000,0.06853
6.38,0.62,2.0308,0.0182,0.00000,0.07021
6.62,0.62,1.6844,0.1088,0.00000,0.06529
6.88,0.62,1.7080,1.0126,0.00000,0.07390
7.12,0.62,2.0433,4.6924,0.00000,0.08363
7.38,0.62,1.5525,10.3788,0.00000,0.06115
2.62,0.88,1.1244,0.0013,0.00000,0.06958
2.88,0.88,1.7788,0.0101,0.00000,0.12794
3.12,0.88,1.8460,0.0407,0.00000,0.16080
3.38,0.88,1.7538,0.0668,0.00000,0.14612
3.62,0.88,2.0741,0.0449,0.00000,0.12983
3.88,0.88,2.0234,0.0165,0.00000,0.12121
4.12,0.88,1.8957,0.0053,0.00000,0.11301
4.38,0.88,1.9260,0.0017,0.00000,0.10405
4.62,0.88,2.0015,0.0026,0.00000,0.09229
4.88,0.88,2.1550,0.0048,0.00000,0.07784
5.12,0.88,2.0643,0.0063,0.00000,0.06877
5.38,0.88,1.9570,0.0073,0.00000,0.06492
5.62,0.88,2.0390,0.0048,0.00000,0.05758
5.88,0.88,2.1716,0.0015,0.00000,0.05414
6.12,0.88,2.0810,0.0012,0.00000,0.05376
6.38,0.88,2.0935,0.0078,0.00000,0.05380
6.62,0.88,1.8815,0.0850,0.00000,0.04879
6.88,0.88,1.9472,0.8593,0.00000,0.05255
7.12,0.88,2.3318,3.9697,0.00000,0.06162
7.38,0.88,1.7955,8.7708,0.00000,0.04668
2.62,1.12,1.5811,0.0006,0.00000,0.05354
2.88,1.12,2.2154,0.0054,0.00000,0.09178
3.12,1.12,1.9382,0.0226,0.00000,0.10638
3.38,1.12,1.8216,0.0379,0.00000,0.09650
3.62,1.12,2.2749,0.0276,0.00000,0.09428
3.88,1.12,2.1210,0.0136,0.00000,0.08949
4.12,1.12,2.0481,0.0055,0.00000,0.08124
4.38,1.12,2.1979,0.0013,0.00000,0.07699
4.62,1.12,2.2222,0.0006,0.00000,0.07262
4.88,1.12,2.2715,0.0010,0.00000,0.06332
5.12,1.12,2.2255,0.0014,0.00000,0.05596
5.38,1.12,2.2673,0.0016,0.00000,0.05303
5.62,1.12,2.3399,0.0011,0.00000,0.04800
5.88,1.12,2.4373,0.0004,0.00000,0.04528
6.12,1.12,2.1818,0.0009,0.00000,0.04254
6.38,1.12,2.1552,0.0119,0.00000,0.04302
6.62,1.12,2.1916,0.1054,0.00000,0.04150
6.88,1.12,2.3706,0.8163,0.00000,0.04302
7.12,1.12,2.7719,3.5631,0.00000,0.04926
7.38,1.12,2.1250,7.8123,0.00000,0.03795
2.62,1.38,1.7787,0.0001,0.00000,0.04175
2.88,1.38,2.3523,0.0012,0.00000,0.06475
