x,y,rho,contact,casualty,pressure
2.62,0.12,0.3408,0.0233,0.00000,0.26022
2.88,0.12,0.5625,0.0330,0.00000,0.43346
3.12,0.12,0.6478,0.0312,0.00000,0.50432
3.38,0.12,0.6436,0.0359,0.00000,0.49738
3.62,0.12,0.7215,0.0491,0.00000,0.53165
3.88,0.12,0.7866,0.0452,0.00000,0.53344
4.12,0.12,0.7871,0.0411,0.00000,0.50075
4.38,0.12,0.8258,0.0467,0.00000,0.51370
4.62,0.12,0.9074,0.0403,0.00000,0.52719
4.88,0.12,0.9593,0.0255,0.00000,0.50423
5.12,0.12,0.9943,0.0199,0.00000,0.48015
5.38,0.12,1.0591,0.0240,0.00000,0.48498
5.62,0.12,1.1053,0.0278,0.00000,0.49539
5.88,0.12,1.0937,0.0313,0.00000,0.49004
6.12,0.12,1.1245,0.0315,0.00000,0.49156
6.38,0.12,1.1585,0.0339,0.00000,0.49309
6.62,0.12,1.1189,0.0991,0.00000,0.45970
6.88,0.12,1.1343,0.8276,0.00000,0.46822
7.12,0.12,0.9705,3.7981,0.00000,0.45291
7.38,0.12,0.5835,8.3856,0.00000,0.30577
2.62,0.38,0.6777,0.0421,0.00000,0.49431
2.88,0.38,1.1747,0.0654,0.00000,0.86180
3.12,0.38,1.4003,0.0751,0.00000,1.03813
3.38,0.38,1.3161,0.0911,0.00000,0.98777
3.62,0.38,1.3738,0.1109,0.00000,1.01340
3.88,0.38,1.4819,0.1019,0.00000,1.03068
4.12,0.38,1.4425,0.0939,0.00000,0.95185
4.38,0.38,1.4462,0.1006,0.00000,0.92790
4.62,0.38,1.5363,0.0918,0.00000,0.92072
4.88,0.38,1.5562,0.0697,0.00000,0.85205
5.12,0.38,1.5340,0.0599,0.00000,0.78802
5.38,0.38,1.5840,0.0688,0.00000,0.78394
5.62,0.38,1.6221,0.0783,0.00000,0.79078
5.88,0.38,1.5725,0.0833,0.00000,0.76503
6.12,0.38,1.6068,0.0787,0.00000,0.75564
6.38,0.38,1.6413,0.0805,0.00000,0.75447
6.62,0.38,1.5530,0.2006,0.00000,0.69751
6.88,0.38,1.6579,1.5180,0.00000,0.74528
7.12,0.38,1.5642,6.9049,0.00000,0.77861
7.38,0.38,1.0075,15.2313,0.00000,0.55001
2.62,0.62,0.8787,0.0461,0.00000,0.57517
2.88,0.62,1.6025,0.0851,0.00000,1.06497
3.12,0.62,1.9779,0.1298,0.00000,1.34446
3.38,0.62,1.7804,0.1698,0.00000,1.24328
3.62,0.62,1.7514,0.1787,0.00000,1.22284
3.88,0.62,1.9059,0.1665,0.00000,1.27784
4.12,0.62,1.8492,0.1644,0.00000,1.18498
4.38,0.62,1.7976,0.1602,0.00000,1.10417
4.62,0.62,1.8723,0.1432,0.00000,1.07592
4.88,0.62,1.8668,0.1211,0.00000,0.99859
5.12,0.62,1.8027,0.1141,0.00000,0.91379
5.38,0.62,1.8303,0.1255,0.00000,0.88921
5.62,0.62,1.8631,0.1385,0.00000,0.88248
5.88,0.62,1.7979,0.1452,0.00000,0.83743
6.12,0.62,1.8314,0.1333,0.00000,0.81369
6.38,0.62,1.8603,0.1265,0.00000,0.81254
6.62,0.62,1.7021,0.2733,0.00000,0.74823
6.88,0.62,1.8777,1.9043,0.00000,0.82049
7.12,0.62,1.9475,8.5958,0.00000,0.90180
7.38,0.62,1.3356,18.9488,0.00000,0.65677
2.62,0.88,0.8490,0.0324,0.00000,0.44252
2.88,0.88,1.5549,0.0767,0.00000,0.85370
3.12,0.88,1.9240,0.1531,0.00000,1.12294
3.38,0.88,1.7239,0.2102,0.00000,1.05113
3.62,0.88,1.6827,0.1965,0.00000,1.02179
3.88,0.88,1.8422,0.1879,0.00000,1.09026
4.12,0.88,1.8199,0.2026,0.00000,1.03855
4.38,0.88,1.7752,0.1834,0.00000,0.95611
4.62,0.88,1.8244,0.1477,0.00000,0.92386
4.88,0.88,1.8279,0.1248,0.00000,0.87270
5.12,0.88,1.7947,0.1272,0.00000,0.80276
5.38,0.88,1.8125,0.1377,0.00000,0.76878
5.62,0.88,1.8474,0.1473,0.00000,0.75892
5.88,0.88,1.8087,0.1548,0.00000,0.72235
6.12,0.88,1.8388,0.1432,0.00000,0.69263
6.38,0.88,1.8828,0.1263,0.00000,0.69324
6.62,0.88,1.6765,0.2634,0.00000,0.63798
6.88,0.88,1.8302,1.8922,0.00000,0.68996
7.12,0.88,2.0328,8.5807,0.00000,0.76775
7.38,0.88,1.4649,18.9309,0.00000,0.56512
