x,y,rho,contact,casualty,pressure
2.62,0.12,0.3751,0.0000,0.00000,0.30616
2.88,0.12,0.7219,0.0001,0.00000,0.50603
3.12,0.12,0.9972,0.0002,0.00000,0.56270
3.38,0.12,1.0121,0.0004,0.00000,0.48630
3.62,0.12,0.9649,0.0006,0.00000,0.47624
3.88,0.12,1.0145,0.0004,0.00000,0.51792
4.12,0.12,1.0426,0.0001,0.00000,0.52108
4.38,0.12,1.0099,0.0000,0.00000,0.50727
4.62,0.12,0.9988,0.0000,0.00000,0.50423
4.88,0.12,1.0250,0.0000,0.00000,0.50734
5.12,0.12,1.0342,0.0000,0.00000,0.51245
5.38,0.12,1.0223,0.0000,0.00000,0.52195
5.62,0.12,1.0332,0.0002,0.00000,0.54307
5.88,0.12,1.0466,0.0005,0.00000,0.55596
6.12,0.12,1.0739,0.0013,0.00000,0.58934
6.38,0.12,1.1134,0.0037,0.00000,0.63710
6.62,0.12,1.1195,0.0321,0.00000,0.67086
6.88,0.12,1.1495,0.3457,0.00000,0.76629
7.12,0.12,1.0152,1.6153,0.00000,0.74637
7.38,0.12,0.6327,3.5714,0.00000,0.48788
2.62,0.38,0.6261,0.0001,0.00000,0.48730
2.88,0.38,1.1615,0.0002,0.00000,0.80981
3.12,0.38,1.5248,0.0004,0.00000,0.89719
3.38,0.38,1.4700,0.0007,0.00000,0.74712
3.62,0.38,1.3581,0.0009,0.00000,0.70001
3.88,0.38,1.4211,0.0005,0.00000,0.76034
4.12,0.38,1.4787,0.0001,0.00000,0.77139
4.38,0.38,1.4515,0.0000,0.00000,0.74953
4.62,0.38,1.4291,0.0000,0.00000,0.74107
4.88,0.38,1.4536,0.0000,0.00000,0.74354
5.12,0.38,1.4708,0.0000,0.00000,0.74570
5.38,0.38,1.4592,0.0002,0.00000,0.75571
5.62,0.38,1.4627,0.0009,0.00000,0.78462
5.88,0.38,1.4548,0.0017,0.00000,0.79529
6.12,0.38,1.4804,0.0025,0.00000,0.83255
6.38,0.38,1.4991,0.0065,0.00000,0.87416
6.62,0.38,1.4735,0.0792,0.00000,0.88272
6.88,0.38,1.5784,0.9000,0.00000,1.01676
7.12,0.38,1.4589,4.2282,0.00000,1.02862
7.38,0.38,0.9258,9.3610,0.00000,0.68836
2.62,0.62,0.6353,0.0001,0.00000,0.43362
2.88,0.62,1.2195,0.0004,0.00000,0.77131
3.12,0.62,1.6337,0.0006,0.00000,0.91804
3.38,0.62,1.5456,0.0006,0.00000,0.76466
3.62,0.62,1.3913,0.0006,0.00000,0.67062
3.88,0.62,1.4625,0.0003,0.00000,0.72349
4.12,0.62,1.5315,0.0001,0.00000,0.73840
4.38,0.62,1.5072,0.0000,0.00000,0.71077
4.62,0.62,1.4883,0.0000,0.00000,0.70326
4.88,0.62,1.5103,0.0000,0.00000,0.70502
5.12,0.62,1.5246,0.0000,0.00000,0.69803
5.38,0.62,1.5192,0.0003,0.00000,0.70905
5.62,0.62,1.5173,0.0014,0.00000,0.74020
5.88,0.62,1.4955,0.0025,0.00000,0.74910
6.12,0.62,1.5333,0.0026,0.00000,0.79087
6.38,0.62,1.5318,0.0061,0.00000,0.82019
6.62,0.62,1.4792,0.1029,0.00000,0.79423
6.88,0.62,1.6364,1.2094,0.00000,0.90670
7.12,0.62,1.5394,5.7013,0.00000,0.92936
7.38,0.62,0.9741,12.6329,0.00000,0.62614
2.62,0.88,0.3839,0.0001,0.00000,0.21818
2.88,0.88,0.8289,0.0002,0.00000,0.45550
3.12,0.88,1.2221,0.0003,0.00000,0.63287
3.38,0.88,1.1911,0.0003,0.00000,0.55915
3.62,0.88,1.0670,0.0002,0.00000,0.46131
3.88,0.88,1.1316,0.0001,0.00000,0.48381
4.12,0.88,1.1868,0.0000,0.00000,0.49408
4.38,0.88,1.1665,0.0000,0.00000,0.47235
4.62,0.88,1.1660,0.0000,0.00000,0.47191
4.88,0.88,1.1874,0.0000,0.00000,0.47239
5.12,0.88,1.1918,0.0000,0.00000,0.46357
5.38,0.88,1.1953,0.0002,0.00000,0.48233
5.62,0.88,1.1954,0.0009,0.00000,0.50519
5.88,0.88,1.1752,0.0015,0.00000,0.50306
6.12,0.88,1.2289,0.0012,0.00000,0.53751
6.38,0.88,1.2293,0.0027,0.00000,0.55837
6.62,0.88,1.1820,0.0563,0.00000,0.52971
6.88,0.88,1.3252,0.6735,0.00000,0.59304
7.12,0.88,1.2271,3.1798,0.00000,0.59141
7.38,0.88,0.7578,7.0487,0.00000,0.39002
2.62,1.12,0.1831,0.0000,0.00000,0.08112
2.88,1.12,0.4836,0.0000,0.00000,0.21279
3.12,1.12,0.8320,0.0001,0.00000,0.35773
3.38,1.12,0.8884,0.0000,0.00000,0.35991
3.62,1.12,0.8163,0.0000,0.00000,0.30215
3.88,1.12,0.8633,0.0000,0.00000,0.30209
4.12,1.12,0.9143,0.0000,0.00000,0.30776
4.38,1.12,0.9071,0.0000,0.00000,0.30064
4.62,1.12,0.9189,0.0000,0.00000,0.30690
4.88,1.12,0.9423,0.0000,0.00000,0.30901
5.12,1.12,0.9437,0.0000,0.00000,0.30577
5.38,1.12,0.9580,0.0000,0.00000,0.32789
5.62,1.12,0.9697,0.0002,0.00000,0.34404
5.88,1.12,0.9628,0.0003,0.00000,0.34007
6.12,1.12,1.0179,0.0002,0.00000,0.36259
6.38,1.12,1.0207,0.0005,0.00000,0.37227
6.62,1.12,0.9941,0.0121,0.00000,0.35880
6.88,1.12,1.0926,0.1453,0.00000,0.39617
7.12,1.12,0.9506,0.6867,0.00000,0.36804
7.38,1.12,0.5561,1.5224,0.00000,0.22940
2.62,1.38,0.1050,0.0000,0.00000,0.03143
2.88,1.38,0.3376,0.0000,0.00000,0.09738
3.12,1.38,0.6754,0.0000,0.00000,0.19486
3.38,1.38,0.8099,0.0000,0.00000,0.23590
3.62,1.38,0.7684,0.0000,0.00000,0.21617
3.88,1.38,0.8004,0.0000,0.00000,0.20711
4.12,1.38,0.8621,0.0000,0.00000,0.21085
4.38,1.38,0.8619,0.0000,0.00000,0.21033
4.62,1.38,0.8734,0.0000,0.00000,0.21425
4.88,1.38,0.9048,0.0000,0.00000,0.22004
5.12,1.38,0.9115,0.0000,0.00000,0.22497
5.38,1.38,0.9290,0.0000,0.00000,0.24258
5.62,1.38,0.9449,0.0000,0.00000,0.25606
5.88,1.38,0.9473,0.0000,0.00000,0.25897
6.12,1.38,0.9998,0.0000,0.00000,0.27423
6.38,1.38,1.0073,0.0000,0.00000,0.27641
6.62,1.38,1.0224,0.0010,0.00000,0.27526
6.88,1.38,1.0940,0.0118,0.00000,0.30099
7.12,1.38,0.8555,0.0557,0.00000,0.26015
7.38,1.38,0.4512,0.1235,0.00000,0.15264
2.62,1.62,0.0724,0.0000,0.00000,0.01329
2.88,1.62,0.2689,0.0000,0.00000,0.04735
3.12,1.62,0.6126,0.0000,0.00000,0.11372
3.38,1.62,0.8226,0.0000,0.00000,0.16591
3.62,1.62,0.8100,0.0000,0.00000,0.16833
3.88,1.62,0.8297,0.0000,0.00000,0.16073
4.12,1.62,0.8964,0.0000,0.00000,0.16156
4.38,1.62,0.8998,0.0000,0.00000,0.15974
4.62,1.62,0.9113,0.0000,0.00000,0.16027
4.88,1.62,0.9527,0.0000,0.00000,0.16829
5.12,1.62,0.9656,0.0000,0.00000,0.17632
5.38,1.62,0.9818,0.0000,0.00000,0.18577
5.62,1.62,0.9961,0.0000,0.00000,0.19433
5.88,1.62,1.0024,0.0000,0.00000,0.19981
6.12,1.62,1.0541,0.0000,0.00000,0.21252
6.38,1.62,1.0657,0.0000,0.00000,0.21686
6.62,1.62,1.1354,0.0000,0.00000,0.22495
6.88,1.62,1.2057,0.0004,0.00000,0.24200
7.12,1.62,0.8561,0.0017,0.00000,0.19419
7.38,1.62,0.3998,0.0037,0.00000,0.10642
2.62,1.88,0.0496,0.0000,0.00000,0.00555
2.88,1.88,0.2081,0.0000,0.00000,0.02400
3.12,1.88,0.5433,0.0000,0.00000,0.06906
3.38,1.88,0.8248,0.0000,0.00000,0.11732
3.62,1.88,0.8553,0.0000,0.00000,0.13232
3.88,1.88,0.8573,0.0000,0.00000,0.12982
4.12,1.88,0.9175,0.0000,0.00000,0.12732
4.38,1.88,0.9333,0.0000,0.00000,0.12632
4.62,1.88,0.9531,0.0000,0.00000,0.12952
4.88,1.88,1.0042,0.0000,0.00000,0.13890
5.12,1.88,1.0221,0.0000,0.00000,0.14467
5.38,1.88,1.0347,0.0000,0.00000,0.14586
5.62,1.88,1.0490,0.0000,0.00000,0.14915
5.88,1.88,1.0642,0.0000,0.00000,0.15473
6.12,1.88,1.1117,0.0000,0.00000,0.16545
6.38,1.88,1.1138,0.0000,0.00000,0.17079
6.62,1.88,1.2215,0.0000,0.00000,0.18388
6.88,1.88,1.3004,0.0000,0.00000,0.19769
7.12,1.88,0.8758,0.0000,0.00000,0.14844
7.38,1.88,0.3767,0.0000,0.00000,0.07503
2.62,2.12,0.0319,0.0000,0.00000,0.00230
2.88,2.12,0.1519,0.0000,0.00000,0.01189
3.12,2.12,0.4592,0.0000,0.00000,0.04017
3.38,2.12,0.7928,0.0000,0.00000,0.07842
3.62,2.12,0.8807,0.0000,0.00000,0.09803
3.88,2.12,0.8743,0.0000,0.00000,0.09914
4.12,2.12,0.9271,0.0000,0.00000,0.09793
4.38,2.12,0.9605,0.0000,0.00000,0.10077
4.62,2.12,0.9883,0.0000,0.00000,0.10592
4.88,2.12,1.0414,0.0000,0.00000,0.11378
5.12,2.12,1.0632,0.0000,0.00000,0.11729
5.38,2.12,1.0784,0.0000,0.00000,0.11688
5.62,2.12,1.0976,0.0000,0.00000,0.11940
5.88,2.12,1.1224,0.0000,0.00000,0.12426
6.12,2.12,1.1583,0.0000,0.00000,0.13074
6.38,2.12,1.1385,0.0000,0.00000,0.13216
6.62,2.12,1.2619,0.0000,0.00000,0.14530
6.88,2.12,1.3553,0.0000,0.00000,0.15874
7.12,2.12,0.8992,0.0000,0.00000,0.11620
7.38,2.12,0.3749,0.0000,0.00000,0.05633
2.62,2.38,0.0187,0.0000,0.00000,0.00100
2.88,2.38,0.1045,0.0000,0.00000,0.00626
3.12,2.38,0.3728,0.0000,0.00000,0.02507
3.38,2.38,0.7348,0.0000,0.00000,0.05523
3.62,2.38,0.8887,0.0000,0.00000,0.07412
3.88,2.38,0.8922,0.0000,0.00000,0.07641
4.12,2.38,0.9374,0.0000,0.00000,0.07660
4.38,2.38,0.9845,0.0000,0.00000,0.08027
4.62,2.38,1.0112,0.0000,0.00000,0.08335
4.88,2.38,1.0559,0.0000,0.00000,0.08780
5.12,2.38,1.0845,0.0000,0.00000,0.09294
5.38,2.38,1.1101,0.0000,0.00000,0.09732
5.62,2.38,1.1343,0.0000,0.00000,0.10086
5.88,2.38,1.1673,0.0000,0.00000,0.10467
6.12,2.38,1.1967,0.0000,0.00000,0.10793
6.38,2.38,1.1539,0.0000,0.00000,0.10501
6.62,2.38,1.2793,0.0000,0.00000,0.11439
6.88,2.38,1.3939,0.0000,0.00000,0.12559
7.12,2.38,0.9295,0.0000,0.00000,0.09203
7.38,2.38,0.3866,0.0000,0.00000,0.04465
2.62,2.62,0.0102,0.0000,0.00000,0.00055
2.88,2.62,0.0696,0.0000,0.00000,0.00431
3.12,2.62,0.2945,0.0000,0.00000,0.01938
3.38,2.62,0.6634,0.0000,0.00000,0.04419
3.62,2.62,0.8856,0.0000,0.00000,0.05880
