x,y,rho,contact,casualty,pressure
2.62,0.12,0.3926,0.0022,0.00000,0.26399
2.88,0.12,0.6713,0.0027,0.00000,0.42095
3.12,0.12,0.7965,0.0017,0.00000,0.44821
3.38,0.12,0.7512,0.0011,0.00000,0.39519
3.62,0.12,0.7722,0.0012,0.00000,0.42007
3.88,0.12,0.8400,0.0008,0.00000,0.45446
4.12,0.12,0.8316,0.0008,0.00000,0.43494
4.38,0.12,0.8048,0.0012,0.00000,0.42304
4.62,0.12,0.8090,0.0016,0.00000,0.42378
4.88,0.12,0.8102,0.0032,0.00000,0.41465
5.12,0.12,0.8094,0.0044,0.00000,0.41204
5.38,0.12,0.8245,0.0044,0.00000,0.42784
5.62,0.12,0.8546,0.0049,0.00000,0.46409
5.88,0.12,0.8676,0.0042,0.00000,0.49011
6.12,0.12,0.8884,0.0024,0.00000,0.51497
6.38,0.12,0.9226,0.0034,0.00000,0.55135
6.62,0.12,0.9111,0.0380,0.00000,0.57834
6.88,0.12,0.9215,0.4140,0.00000,0.65707
7.12,0.12,0.8339,1.9173,0.00000,0.65564
7.38,0.12,0.5361,4.2231,0.00000,0.43960
2.62,0.38,0.6955,0.0036,0.00000,0.43609
2.88,0.38,1.2372,0.0044,0.00000,0.72343
3.12,0.38,1.5211,0.0032,0.00000,0.80420
3.38,0.38,1.4095,0.0035,0.00000,0.69944
3.62,0.38,1.3749,0.0049,0.00000,0.70549
3.88,0.38,1.4797,0.0031,0.00000,0.75765
4.12,0.38,1.4772,0.0015,0.00000,0.72795
4.38,0.38,1.4295,0.0016,0.00000,0.70533
4.62,0.38,1.4363,0.0022,0.00000,0.70996
4.88,0.38,1.4487,0.0043,0.00000,0.70006
5.12,0.38,1.4408,0.0060,0.00000,0.69160
5.38,0.38,1.4450,0.0060,0.00000,0.71389
5.62,0.38,1.4762,0.0068,0.00000,0.77118
5.88,0.38,1.4743,0.0060,0.00000,0.80355
6.12,0.38,1.4884,0.0051,0.00000,0.83730
6.38,0.38,1.5155,0.0098,0.00000,0.88713
6.62,0.38,1.4848,0.0732,0.00000,0.92046
6.88,0.38,1.5793,0.7510,0.00000,1.07681
