x,y,rho,contact,casualty,pressure
2.62,0.12,0.0125,0.0000,0.00000,0.00078
2.88,0.12,0.0266,0.0000,0.00000,0.00169
3.12,0.12,0.0427,0.0000,0.00000,0.00239
3.38,0.12,0.0510,0.0000,0.00000,0.00216
3.62,0.12,0.0507,0.0000,0.00000,0.00178
3.88,0.12,0.0477,0.0000,0.00000,0.00151
4.12,0.12,0.0474,0.0000,0.00000,0.00113
4.38,0.12,0.0496,0.0000,0.00000,0.00083
4.62,0.12,0.0509,0.0000,0.00000,0.00082
4.88,0.12,0.0494,0.0000,0.00000,0.00118
5.12,0.12,0.0504,0.0000,0.00000,0.00145
5.38,0.12,0.0546,0.0000,0.00000,0.00126
5.62,0.12,0.0551,0.0000,0.00000,0.00126
5.88,0.12,0.0513,0.0000,0.00000,0.00139
6.12,0.12,0.0468,0.0000,0.00000,0.00111
6.38,0.12,0.0473,0.0000,0.00000,0.00105
6.62,0.12,0.0496,0.0000,0.00000,0.00182
6.88,0.12,0.0447,0.0000,0.00000,0.00251
7.12,0.12,0.0291,0.0000,0.00000,0.00181
7.38,0.12,0.0137,0.0000,0.00000,0.00079
2.62,0.38,0.0380,0.0000,0.00000,0.00333
2.88,0.38,0.0855,0.0000,0.00000,0.00732
3.12,0.38,0.1386,0.0000,0.00000,0.01018
3.38,0.38,0.1584,0.0000,0.00000,0.00831
3.62,0.38,0.1526,0.0000,0.00000,0.00565
3.88,0.38,0.1452,0.0000,0.00000,0.00438
4.12,0.38,0.1438,0.0000,0.00000,0.00375
4.38,0.38,0.1441,0.0000,0.00000,0.00311
4.62,0.38,0.1467,0.0000,0.00000,0.00292
4.88,0.38,0.1473,0.0000,0.00000,0.00365
5.12,0.38,0.1493,0.0000,0.00000,0.00407
5.38,0.38,0.1573,0.0000,0.00000,0.00374
5.62,0.38,0.1585,0.0000,0.00000,0.00376
5.88,0.38,0.1510,0.0000,0.00000,0.00394
6.12,0.38,0.1448,0.0000,0.00000,0.00359
6.38,0.38,0.1491,0.0000,0.00000,0.00415
6.62,0.38,0.1566,0.0000,0.00000,0.00771
6.88,0.38,0.1392,0.0000,0.00000,0.01052
7.12,0.38,0.0836,0.0000,0.00000,0.00704
7.38,0.38,0.0350,0.0000,0.00000,0.00266
2.62,0.62,0.0665,0.0000,0.00000,0.00640
2.88,0.62,0.1641,0.0000,0.00000,0.01510
3.12,0.62,0.2773,0.0000,0.00000,0.02175
3.38,0.62,0.3111,0.0000,0.00000,0.01722
3.62,0.62,0.2958,0.0000,0.00000,0.01056
3.88,0.62,0.2878,0.0000,0.00000,0.00784
4.12,0.62,0.2834,0.0000,0.00000,0.00707
4.38,0.62,0.2728,0.0000,0.00000,0.00606
4.62,0.62,0.2729,0.0000,0.00000,0.00559
4.88,0.62,0.2784,0.0000,0.00000,0.00635
5.12,0.62,0.2817,0.0000,0.00000,0.00664
5.38,0.62,0.2922,0.0000,0.00000,0.00646
5.62,0.62,0.2964,0.0000,0.00000,0.00664
5.88,0.62,0.2889,0.0000,0.00000,0.00677
6.12,0.62,0.2836,0.0000,0.00000,0.00662
6.38,0.62,0.2909,0.0000,0.00000,0.00846
6.62,0.62,0.3047,0.0000,0.00000,0.01578
6.88,0.62,0.2681,0.0000,0.00000,0.02103
7.12,0.62,0.1515,0.0000,0.00000,0.01352
7.38,0.62,0.0564,0.0000,0.00000,0.00474
2.62,0.88,0.0655,0.0000,0.00000,0.00589
2.88,0.88,0.1879,0.0000,0.00000,0.01599
3.12,0.88,0.3419,0.0000,0.00000,0.02514
3.38,0.88,0.3857,0.0000,0.00000,0.02053
3.62,0.88,0.3633,0.0000,0.00000,0.01208
3.88,0.88,0.3588,0.0000,0.00000,0.00876
4.12,0.88,0.3525,0.0000,0.00000,0.00790
4.38,0.88,0.3315,0.0000,0.00000,0.00686
4.62,0.88,0.3270,0.0000,0.00000,0.00645
4.88,0.88,0.3354,0.0000,0.00000,0.00676
5.12,0.88,0.3418,0.0000,0.00000,0.00678
5.38,0.88,0.3535,0.0000,0.00000,0.00700
5.62,0.88,0.3607,0.0000,0.00000,0.00752
5.88,0.88,0.3577,0.0000,0.00000,0.00772
6.12,0.88,0.3517,0.0000,0.00000,0.00790
6.38,0.88,0.3558,0.0000,0.00000,0.01028
6.62,0.88,0.3734,0.0000,0.00000,0.01752
6.88,0.88,0.3272,0.0000,0.00000,0.02173
7.12,0.88,0.1752,0.0000,0.00000,0.01330
7.38,0.88,0.0576,0.0000,0.00000,0.00438
2.62,1.12,0.0514,0.0000,0.00000,0.00369
2.88,1.12,0.1739,0.0000,0.00000,0.01203
3.12,1.12,0.3436,0.0000,0.00000,0.02168
3.38,1.12,0.3980,0.0000,0.00000,0.02026
3.62,1.12,0.3678,0.0000,0.00000,0.01275
3.88,1.12,0.3558,0.0000,0.00000,0.00869
4.12,1.12,0.3487,0.0000,0.00000,0.00782
4.38,1.12,0.3312,0.0000,0.00000,0.00763
4.62,1.12,0.3297,0.0000,0.00000,0.00769
4.88,1.12,0.3392,0.0000,0.00000,0.00755
5.12,1.12,0.3485,0.0000,0.00000,0.00741
5.38,1.12,0.3626,0.0000,0.00000,0.00784
5.62,1.12,0.3673,0.0000,0.00000,0.00832
5.88,1.12,0.3607,0.0000,0.00000,0.00871
6.12,1.12,0.3547,0.0000,0.00000,0.00951
6.38,1.12,0.3631,0.0000,0.00000,0.01174
6.62,1.12,0.3837,0.0000,0.00000,0.01572
6.88,1.12,0.3320,0.0000,0.00000,0.01633
7.12,1.12,0.1694,0.0000,0.00000,0.00911
7.38,1.12,0.0495,0.0000,0.00000,0.00275
2.62,1.38,0.0460,0.0000,0.00000,0.00246
2.88,1.38,0.1683,0.0000,0.00000,0.00902
3.12,1.38,0.3499,0.0000,0.00000,0.01838
3.38,1.38,0.4214,0.0000,0.00000,0.02028
3.62,1.38,0.3896,0.0000,0.00000,0.01470
3.88,1.38,0.3633,0.0000,0.00000,0.00980
4.12,1.38,0.3491,0.0000,0.00000,0.00857
4.38,1.38,0.3363,0.0000,0.00000,0.00925
4.62,1.38,0.3392,0.0000,0.00000,0.00971
4.88,1.38,0.3484,0.0000,0.00000,0.00930
5.12,1.38,0.3564,0.0000,0.00000,0.00908
5.38,1.38,0.3707,0.0000,0.00000,0.00951
5.62,1.38,0.3733,0.0000,0.00000,0.00949
5.88,1.38,0.3623,0.0000,0.00000,0.00968
6.12,1.38,0.3575,0.0000,0.00000,0.01098
6.38,1.38,0.3755,0.0000,0.00000,0.01321
6.62,1.38,0.3955,0.0000,0.00000,0.01453
6.88,1.38,0.3312,0.0000,0.00000,0.01240
7.12,1.38,0.1626,0.0000,0.00000,0.00621
7.38,1.38,0.0446,0.0000,0.00000,0.00173
2.62,1.62,0.0407,0.0000,0.00000,0.00157
2.88,1.62,0.1524,0.0000,0.00000,0.00600
3.12,1.62,0.3304,0.0000,0.00000,0.01314
3.38,1.62,0.4184,0.0000,0.00000,0.01629
3.62,1.62,0.3938,0.0000,0.00000,0.01361
3.88,1.62,0.3578,0.0000,0.00000,0.00986
4.12,1.62,0.3375,0.0000,0.00000,0.00827
4.38,1.62,0.3254,0.0000,0.00000,0.00851
4.62,1.62,0.3274,0.0000,0.00000,0.00886
4.88,1.62,0.3370,0.0000,0.00000,0.00867
5.12,1.62,0.3426,0.0000,0.00000,0.00845
5.38,1.62,0.3506,0.0000,0.00000,0.00864
5.62,1.62,0.3561,0.0000,0.00000,0.00841
5.88,1.62,0.3538,0.0000,0.00000,0.00840
6.12,1.62,0.3500,0.0000,0.00000,0.00932
6.38,1.62,0.3693,0.0000,0.00000,0.01098
6.62,1.62,0.3883,0.0000,0.00000,0.01151
6.88,1.62,0.3135,0.0000,0.00000,0.00915
7.12,1.62,0.1480,0.0000,0.00000,0.00436
7.38,1.62,0.0395,0.0000,0.00000,0.00117
2.62,1.88,0.0352,0.0000,0.00000,0.00082
2.88,1.88,0.1365,0.0000,0.00000,0.00322
3.12,1.88,0.3119,0.0000,0.00000,0.00743
3.38,1.88,0.4155,0.0000,0.00000,0.01003
3.62,1.88,0.3948,0.0000,0.00000,0.00941
3.88,1.88,0.3565,0.0000,0.00000,0.00760
4.12,1.88,0.3406,0.0000,0.00000,0.00636
4.38,1.88,0.3298,0.0000,0.00000,0.00607
4.62,1.88,0.3291,0.0000,0.00000,0.00619
4.88,1.88,0.3353,0.0000,0.00000,0.00615
5.12,1.88,0.3368,0.0000,0.00000,0.00581
5.38,1.88,0.3431,0.0000,0.00000,0.00572
5.62,1.88,0.3508,0.0000,0.00000,0.00567
5.88,1.88,0.3532,0.0000,0.00000,0.00591
6.12,1.88,0.3550,0.0000,0.00000,0.00635
6.38,1.88,0.3805,0.0000,0.00000,0.00714
6.62,1.88,0.3956,0.0000,0.00000,0.00758
6.88,1.88,0.3045,0.0000,0.00000,0.00602
7.12,1.88,0.1375,0.0000,0.00000,0.00281
7.38,1.88,0.0357,0.0000,0.00000,0.00074
2.62,2.12,0.0321,0.0000,0.00000,0.00046
2.88,2.12,0.1290,0.0000,0.00000,0.00183
3.12,2.12,0.3075,0.0000,0.00000,0.00430
3.38,2.12,0.4248,0.0000,0.00000,0.00597
