x,y,rho,contact,casualty,pressure
2.62,0.12,0.2964,0.0000,0.00000,0.20616
2.88,0.12,0.5858,0.0000,0.00000,0.34804
3.12,0.12,0.8092,0.0000,0.00000,0.39190
3.38,0.12,0.7943,0.0000,0.00000,0.33476
3.62,0.12,0.7552,0.0000,0.00000,0.33384
3.88,0.12,0.8017,0.0000,0.00000,0.36838
4.12,0.12,0.8017,0.0000,0.00000,0.35723
4.38,0.12,0.7678,0.0000,0.00000,0.34583
4.62,0.12,0.7882,0.0000,0.00000,0.36634
4.88,0.12,0.8266,0.0000,0.00000,0.37869
5.12,0.12,0.7977,0.0000,0.00000,0.35341
5.38,0.12,0.7554,0.0000,0.00000,0.34106
5.62,0.12,0.7683,0.0000,0.00000,0.36160
5.88,0.12,0.7871,0.0000,0.00000,0.37835
6.12,0.12,0.8202,0.0002,0.00000,0.40615
6.38,0.12,0.8693,0.0004,0.00000,0.44112
6.62,0.12,0.8695,0.0004,0.00000,0.45561
6.88,0.12,0.8669,0.0003,0.00000,0.50250
7.12,0.12,0.7425,0.0002,0.00000,0.48178
7.38,0.12,0.4534,0.0001,0.00000,0.31393
2.62,0.38,0.5225,0.0000,0.00000,0.34265
2.88,0.38,1.0146,0.0000,0.00000,0.59057
3.12,0.38,1.3836,0.0000,0.00000,0.67779
3.38,0.38,1.3438,0.0000,0.00000,0.57143
3.62,0.38,1.2442,0.0000,0.00000,0.54722
3.88,0.38,1.3144,0.0000,0.00000,0.59752
4.12,0.38,1.3451,0.0000,0.00000,0.58383
4.38,0.38,1.2867,0.0000,0.00000,0.56184
4.62,0.38,1.2946,0.0000,0.00000,0.58957
4.88,0.38,1.3586,0.0000,0.00000,0.61659
5.12,0.38,1.3239,0.0000,0.00000,0.57922
5.38,0.38,1.2581,0.0000,0.00000,0.55372
5.62,0.38,1.2699,0.0000,0.00000,0.58045
5.88,0.38,1.2889,0.0002,0.00000,0.59955
6.12,0.38,1.3232,0.0009,0.00000,0.63722
6.38,0.38,1.3361,0.0016,0.00000,0.67140
6.62,0.38,1.3195,0.0016,0.00000,0.68130
6.88,0.38,1.4122,0.0014,0.00000,0.78052
7.12,0.38,1.2705,0.0008,0.00000,0.76973
7.38,0.38,0.7850,0.0002,0.00000,0.50499
2.62,0.62,0.5610,0.0000,0.00000,0.32284
2.88,0.62,1.1267,0.0000,0.00000,0.59650
3.12,0.62,1.5929,0.0000,0.00000,0.73694
3.38,0.62,1.5571,0.0000,0.00000,0.62756
3.62,0.62,1.3796,0.0000,0.00000,0.55842
3.88,0.62,1.4412,0.0000,0.00000,0.59718
4.12,0.62,1.5234,0.0000,0.00000,0.59683
4.38,0.62,1.4568,0.0000,0.00000,0.56919
