x,y,rho,contact,casualty,pressure
2.62,0.12,0.2440,0.0000,0.00000,0.12668
2.88,0.12,0.4459,0.0000,0.00000,0.21805
3.12,0.12,0.5667,0.0000,0.00000,0.25238
3.38,0.12,0.5342,0.0000,0.00000,0.22374
3.62,0.12,0.5218,0.0000,0.00000,0.23273
3.88,0.12,0.5782,0.0000,0.00000,0.26301
4.12,0.12,0.5942,0.0000,0.00000,0.25650
4.38,0.12,0.5661,0.0000,0.00000,0.24271
4.62,0.12,0.5618,0.0000,0.00000,0.25048
4.88,0.12,0.5861,0.0000,0.00000,0.26107
5.12,0.12,0.5831,0.0000,0.00000,0.24823
5.38,0.12,0.5766,0.0000,0.00000,0.24365
5.62,0.12,0.5934,0.0000,0.00000,0.25995
5.88,0.12,0.5847,0.0000,0.00000,0.26279
6.12,0.12,0.5690,0.0000,0.00000,0.26939
6.38,0.12,0.5804,0.0010,0.00000,0.28881
6.62,0.12,0.5852,0.0281,0.00000,0.30214
6.88,0.12,0.6077,0.3255,0.00000,0.34554
7.12,0.12,0.5426,1.5113,0.00000,0.33809
7.38,0.12,0.3400,3.3283,0.00000,0.22126
2.62,0.38,0.4726,0.0000,0.00000,0.22884
2.88,0.38,0.9029,0.0000,0.00000,0.41253
3.12,0.38,1.2050,0.0000,0.00000,0.49988
3.38,0.38,1.1427,0.0000,0.00000,0.43664
3.62,0.38,1.0485,0.0000,0.00000,0.41990
3.88,0.38,1.1387,0.0000,0.00000,0.46771
4.12,0.38,1.2049,0.0000,0.00000,0.47115
4.38,0.38,1.1541,0.0000,0.00000,0.44874
4.62,0.38,1.1306,0.0000,0.00000,0.45654
4.88,0.38,1.1701,0.0000,0.00000,0.47606
5.12,0.38,1.1613,0.0000,0.00000,0.45644
5.38,0.38,1.1442,0.0000,0.00000,0.44701
5.62,0.38,1.1820,0.0000,0.00000,0.47936
5.88,0.38,1.1901,0.0000,0.00000,0.49930
6.12,0.38,1.1827,0.0000,0.00000,0.52569
6.38,0.38,1.1746,0.0013,0.00000,0.55435
6.62,0.38,1.1602,0.0383,0.00000,0.57619
6.88,0.38,1.2507,0.4441,0.00000,0.68472
7.12,0.38,1.1432,2.0606,0.00000,0.68166
7.38,0.38,0.7166,4.5369,0.00000,0.44587
2.62,0.62,0.5417,0.0000,0.00000,0.23718
2.88,0.62,1.1212,0.0000,0.00000,0.46639
3.12,0.62,1.6253,0.0000,0.00000,0.61679
3.38,0.62,1.5857,0.0000,0.00000,0.54503
3.62,0.62,1.3608,0.0000,0.00000,0.47302
3.88,0.62,1.4238,0.0000,0.00000,0.50936
4.12,0.62,1.5598,0.0000,0.00000,0.53509
4.38,0.62,1.5168,0.0000,0.00000,0.51196
4.62,0.62,1.4663,0.0000,0.00000,0.50870
4.88,0.62,1.5093,0.0000,0.00000,0.53460
5.12,0.62,1.5068,0.0000,0.00000,0.52599
5.38,0.62,1.4825,0.0000,0.00000,0.51641
5.62,0.62,1.5187,0.0000,0.00000,0.55003
5.88,0.62,1.5455,0.0000,0.00000,0.58829
6.12,0.62,1.5779,0.0000,0.00000,0.64169
6.38,0.62,1.5424,0.0008,0.00000,0.66561
6.62,0.62,1.4946,0.0232,0.00000,0.67804
6.88,0.62,1.6731,0.2672,0.00000,0.83324
7.12,0.62,1.5614,1.2379,0.00000,0.84694
7.38,0.62,0.9771,2.7240,0.00000,0.55559
