x,y,rho,contact,casualty,pressure
2.62,0.12,0.1486,0.0000,0.00000,0.01610
2.88,0.12,0.2500,0.0000,0.00000,0.02785
3.12,0.12,0.2977,0.0000,0.00000,0.03432
3.38,0.12,0.2930,0.0000,0.00000,0.03518
3.62,0.12,0.2984,0.0000,0.00000,0.03635
3.88,0.12,0.3091,0.0000,0.00000,0.03500
4.12,0.12,0.3121,0.0000,0.00000,0.03320
4.38,0.12,0.3039,0.0000,0.00000,0.03268
4.62,0.12,0.2903,0.0000,0.00000,0.03134
4.88,0.12,0.2877,0.0000,0.00000,0.03111
5.12,0.12,0.3036,0.0000,0.00000,0.03162
5.38,0.12,0.3183,0.0000,0.00000,0.03213
5.62,0.12,0.3135,0.0000,0.00000,0.03230
5.88,0.12,0.3088,0.0000,0.00000,0.03318
6.12,0.12,0.3147,0.0000,0.00000,0.03478
6.38,0.12,0.3067,0.0000,0.00000,0.03436
6.62,0.12,0.2968,0.0000,0.00000,0.03338
6.88,0.12,0.2960,0.0000,0.00000,0.03492
7.12,0.12,0.2434,0.0000,0.00000,0.03114
7.38,0.12,0.1425,0.0000,0.00000,0.01933
2.62,0.38,0.3668,0.0000,0.00000,0.04764
2.88,0.38,0.6335,0.0000,0.00000,0.08392
3.12,0.38,0.7686,0.0000,0.00000,0.10274
3.38,0.38,0.7449,0.0000,0.00000,0.09917
3.62,0.38,0.7478,0.0000,0.00000,0.09988
3.88,0.38,0.7722,0.0000,0.00000,0.09941
4.12,0.38,0.7710,0.0000,0.00000,0.09592
4.38,0.38,0.7615,0.0000,0.00000,0.09603
4.62,0.38,0.7447,0.0000,0.00000,0.09404
4.88,0.38,0.7415,0.0000,0.00000,0.09280
5.12,0.38,0.7687,0.0000,0.00000,0.09215
5.38,0.38,0.7879,0.0000,0.00000,0.09134
5.62,0.38,0.7661,0.0000,0.00000,0.09032
5.88,0.38,0.7630,0.0000,0.00000,0.09427
6.12,0.38,0.7861,0.0000,0.00000,0.10094
6.38,0.38,0.7633,0.0000,0.00000,0.09926
6.62,0.38,0.7583,0.0000,0.00000,0.09892
6.88,0.38,0.7774,0.0000,0.00000,0.10598
7.12,0.38,0.6219,0.0000,0.00000,0.08998
7.38,0.38,0.3492,0.0000,0.00000,0.05266
2.62,0.62,0.5743,0.0000,0.00000,0.08266
2.88,0.62,1.0530,0.0000,0.00000,0.15322
3.12,0.62,1.3360,0.0000,0.00000,0.19352
3.38,0.62,1.2668,0.0000,0.00000,0.18047
3.62,0.62,1.2369,0.0000,0.00000,0.17784
3.88,0.62,1.2789,0.0000,0.00000,0.18193
4.12,0.62,1.2604,0.0000,0.00000,0.17529
4.38,0.62,1.2561,0.0000,0.00000,0.17522
4.62,0.62,1.2573,0.0000,0.00000,0.17369
4.88,0.62,1.2525,0.0000,0.00000,0.17000
5.12,0.62,1.2779,0.0000,0.00000,0.16762
5.38,0.62,1.2899,0.0000,0.00000,0.16521
5.62,0.62,1.2429,0.0000,0.00000,0.16062
5.88,0.62,1.2535,0.0000,0.00000,0.16923
6.12,0.62,1.2991,0.0000,0.00000,0.18445
6.38,0.62,1.2437,0.0000,0.00000,0.18000
6.62,0.62,1.2791,0.0000,0.00000,0.18369
6.88,0.62,1.3563,0.0000,0.00000,0.19924
7.12,0.62,1.0396,0.0000,0.00000,0.15923
7.38,0.62,0.5461,0.0000,0.00000,0.08662
2.62,0.88,0.5786,0.0000,0.00000,0.08380
2.88,0.88,1.1720,0.0000,0.00000,0.17056
3.12,0.88,1.5841,0.0000,0.00000,0.23044
3.38,0.88,1.4506,0.0000,0.00000,0.21230
3.62,0.88,1.3571,0.0000,0.00000,0.20451
3.88,0.88,1.4236,0.0000,0.00000,0.21397
4.12,0.88,1.3910,0.0000,0.00000,0.20320
4.38,0.88,1.3819,0.0000,0.00000,0.19880
4.62,0.88,1.4082,0.0000,0.00000,0.19839
4.88,0.88,1.4005,0.0000,0.00000,0.19362
5.12,0.88,1.4192,0.0000,0.00000,0.19293
5.38,0.88,1.4290,0.0000,0.00000,0.19176
5.62,0.88,1.3737,0.0000,0.00000,0.18348
5.88,0.88,1.4016,0.0000,0.00000,0.19356
6.12,0.88,1.4448,0.0000,0.00000,0.21245
6.38,0.88,1.3441,0.0000,0.00000,0.20555
6.62,0.88,1.4443,0.0000,0.00000,0.21650
6.88,0.88,1.5955,0.0000,0.00000,0.23557
7.12,0.88,1.1566,0.0000,0.00000,0.17374
7.38,0.88,0.5511,0.0000,0.00000,0.08519
2.62,1.12,0.4942,0.0000,0.00000,0.06618
2.88,1.12,1.0931,0.0000,0.00000,0.14771
3.12,1.12,1.5377,0.0000,0.00000,0.21154
3.38,1.12,1.3447,0.0000,0.00000,0.19228
3.62,1.12,1.2134,0.0000,0.00000,0.17970
3.88,1.12,1.3218,0.0000,0.00000,0.19307
4.12,1.12,1.2935,0.0000,0.00000,0.18316
4.38,1.12,1.2622,0.0000,0.00000,0.17448
4.62,1.12,1.2937,0.0000,0.00000,0.17505
4.88,1.12,1.2866,0.0000,0.00000,0.17154
5.12,1.12,1.3117,0.0000,0.00000,0.17381
5.38,1.12,1.3300,0.0000,0.00000,0.17518
5.62,1.12,1.2770,0.0000,0.00000,0.16686
5.88,1.12,1.3138,0.0000,0.00000,0.17466
6.12,1.12,1.3413,0.0000,0.00000,0.18863
6.38,1.12,1.2063,0.0000,0.00000,0.18054
6.62,1.12,1.3426,0.0000,0.00000,0.19747
6.88,1.12,1.5413,0.0000,0.00000,0.21606
7.12,1.12,1.0717,0.0000,0.00000,0.14872
7.38,1.12,0.4665,0.0000,0.00000,0.06561
2.62,1.38,0.4411,0.0000,0.00000,0.05078
2.88,1.38,1.0192,0.0000,0.00000,0.11766
3.12,1.38,1.4533,0.0000,0.00000,0.17067
3.38,1.38,1.2299,0.0000,0.00000,0.14988
3.62,1.38,1.0997,0.0000,0.00000,0.13562
3.88,1.38,1.2517,0.0000,0.00000,0.15150
4.12,1.38,1.2216,0.0000,0.00000,0.14648
4.38,1.38,1.1668,0.0000,0.00000,0.13832
4.62,1.38,1.1991,0.0000,0.00000,0.13959
4.88,1.38,1.1929,0.0000,0.00000,0.13536
5.12,1.38,1.2148,0.0000,0.00000,0.13724
5.38,1.38,1.2284,0.0000,0.00000,0.14139
