x,y,rho,contact,casualty,pressure
2.62,0.12,0.2781,0.0027,0.00000,0.11658
2.88,0.12,0.5798,0.0051,0.00000,0.22654
3.12,0.12,0.8287,0.0078,0.00000,0.31523
3.38,0.12,0.8558,0.0114,0.00000,0.33241
3.62,0.12,0.9453,0.0131,0.00000,0.34274
3.88,0.12,1.1114,0.0095,0.00000,0.36037
4.12,0.12,1.1466,0.0074,0.00000,0.35052
4.38,0.12,1.1718,0.0076,0.00000,0.32786
4.62,0.12,1.2398,0.0060,0.00000,0.31237
4.88,0.12,1.2471,0.0037,0.00000,0.29528
5.12,0.12,1.2556,0.0029,0.00000,0.27135
5.38,0.12,1.2774,0.0036,0.00000,0.24020
5.62,0.12,1.2819,0.0047,0.00000,0.21656
5.88,0.12,1.2507,0.0060,0.00000,0.20266
6.12,0.12,1.2751,0.0045,0.00000,0.20070
6.38,0.12,1.3423,0.0058,0.00000,0.20962
6.62,0.12,1.2946,0.1323,0.00000,0.21544
6.88,0.12,1.2938,1.6050,0.00000,0.22584
7.12,0.12,1.1364,7.5937,0.00000,0.20540
7.38,0.12,0.7041,16.8420,0.00000,0.13594
2.62,0.38,0.5492,0.0042,0.00000,0.20954
2.88,0.38,1.1323,0.0092,0.00000,0.40387
3.12,0.38,1.5524,0.0176,0.00000,0.54417
3.38,0.38,1.4462,0.0287,0.00000,0.53086
3.62,0.38,1.4375,0.0320,0.00000,0.50096
3.88,0.38,1.6162,0.0213,0.00000,0.50243
4.12,0.38,1.5941,0.0133,0.00000,0.47098
4.38,0.38,1.5667,0.0129,0.00000,0.42471
4.62,0.38,1.6338,0.0111,0.00000,0.39306
4.88,0.38,1.6323,0.0069,0.00000,0.36167
5.12,0.38,1.6403,0.0047,0.00000,0.32932
5.38,0.38,1.6625,0.0052,0.00000,0.29136
5.62,0.38,1.6627,0.0075,0.00000,0.26213
5.88,0.38,1.6408,0.0115,0.00000,0.24958
6.12,0.38,1.6718,0.0107,0.00000,0.25261
6.38,0.38,1.6965,0.0096,0.00000,0.25761
6.62,0.38,1.5477,0.1474,0.00000,0.25397
6.88,0.38,1.6479,1.7766,0.00000,0.27743
7.12,0.38,1.6666,8.4005,0.00000,0.27537
7.38,0.38,1.1291,18.6280,0.00000,0.19211
2.62,0.62,0.7364,0.0032,0.00000,0.23251
2.88,0.62,1.4713,0.0089,0.00000,0.44722
3.12,0.62,1.9314,0.0215,0.00000,0.59430
3.38,0.62,1.7052,0.0383,0.00000,0.55803
3.62,0.62,1.6355,0.0424,0.00000,0.50409
3.88,0.62,1.8016,0.0265,0.00000,0.49978
4.12,0.62,1.7598,0.0135,0.00000,0.47043
4.38,0.62,1.7327,0.0122,0.00000,0.42379
4.62,0.62,1.7921,0.0115,0.00000,0.38579
4.88,0.62,1.7775,0.0073,0.00000,0.34721
5.12,0.62,1.7833,0.0042,0.00000,0.31422
5.38,0.62,1.8008,0.0039,0.00000,0.27858
5.62,0.62,1.8175,0.0063,0.00000,0.25178
5.88,0.62,1.8288,0.0122,0.00000,0.24294
6.12,0.62,1.8513,0.0138,0.00000,0.24728
6.38,0.62,1.8412,0.0122,0.00000,0.24800
6.62,0.62,1.5836,0.1636,0.00000,0.23149
6.88,0.62,1.7501,1.9721,0.00000,0.25274
7.12,0.62,2.0113,9.3306,0.00000,0.26364
7.38,0.62,1.4667,20.6945,0.00000,0.18709
2.62,0.88,0.8520,0.0012,0.00000,0.17884
2.88,0.88,1.5176,0.0041,0.00000,0.33710
3.12,0.88,1.8035,0.0116,0.00000,0.43772
3.38,0.88,1.6312,0.0223,0.00000,0.41036
3.62,0.88,1.7056,0.0251,0.00000,0.38237
3.88,0.88,1.8079,0.0154,0.00000,0.38427
4.12,0.88,1.7657,0.0074,0.00000,0.36792
4.38,0.88,1.8256,0.0071,0.00000,0.34294
4.62,0.88,1.8785,0.0070,0.00000,0.31700
