x,y,rho,contact,casualty,pressure
2.62,0.12,0.3056,0.0099,0.00000,0.19408
2.88,0.12,0.5996,0.0196,0.00000,0.35919
3.12,0.12,0.8426,0.0362,0.00000,0.48068
3.38,0.12,0.9087,0.0541,0.00000,0.51117
3.62,0.12,1.0065,0.0575,0.00000,0.54064
3.88,0.12,1.1491,0.0627,0.00000,0.56055
4.12,0.12,1.1822,0.0710,0.00000,0.52893
4.38,0.12,1.2167,0.0513,0.00000,0.49811
4.62,0.12,1.3111,0.0280,0.00000,0.49626
4.88,0.12,1.3406,0.0191,0.00000,0.47354
5.12,0.12,1.3070,0.0119,0.00000,0.42457
5.38,0.12,1.2806,0.0094,0.00000,0.38961
5.62,0.12,1.2848,0.0137,0.00000,0.37699
5.88,0.12,1.2903,0.0207,0.00000,0.36406
6.12,0.12,1.3389,0.0306,0.00000,0.36741
6.38,0.12,1.3794,0.0487,0.00000,0.37556
6.62,0.12,1.3407,0.2182,0.00000,0.36935
6.88,0.12,1.3735,1.9963,0.00000,0.41063
7.12,0.12,1.1973,9.1982,0.00000,0.40695
7.38,0.12,0.7315,20.3074,0.00000,0.27465
2.62,0.38,0.5890,0.0136,0.00000,0.33706
2.88,0.38,1.1516,0.0260,0.00000,0.62092
3.12,0.38,1.5466,0.0450,0.00000,0.80505
3.38,0.38,1.4839,0.0677,0.00000,0.78942
3.62,0.38,1.4809,0.0756,0.00000,0.76850
3.88,0.38,1.6356,0.0717,0.00000,0.76168
4.12,0.38,1.6160,0.0699,0.00000,0.68530
4.38,0.38,1.5902,0.0559,0.00000,0.62003
4.62,0.38,1.6745,0.0375,0.00000,0.61042
4.88,0.38,1.6964,0.0256,0.00000,0.57967
5.12,0.38,1.6718,0.0158,0.00000,0.51904
5.38,0.38,1.6677,0.0118,0.00000,0.47997
5.62,0.38,1.6744,0.0152,0.00000,0.46478
5.88,0.38,1.6609,0.0232,0.00000,0.43925
6.12,0.38,1.7019,0.0364,0.00000,0.42956
6.38,0.38,1.7122,0.0607,0.00000,0.42761
6.62,0.38,1.5880,0.2296,0.00000,0.40673
6.88,0.38,1.7196,1.9702,0.00000,0.46345
7.12,0.38,1.7009,9.0520,0.00000,0.49382
7.38,0.38,1.1296,19.9924,0.00000,0.34970
2.62,0.62,0.7599,0.0088,0.00000,0.35309
2.88,0.62,1.4841,0.0190,0.00000,0.65865
3.12,0.62,1.9372,0.0386,0.00000,0.84817
3.38,0.62,1.7337,0.0627,0.00000,0.78919
3.62,0.62,1.6536,0.0675,0.00000,0.72853
3.88,0.62,1.8246,0.0544,0.00000,0.71773
4.12,0.62,1.7895,0.0463,0.00000,0.64213
4.38,0.62,1.7384,0.0414,0.00000,0.57350
4.62,0.62,1.7876,0.0349,0.00000,0.55533
4.88,0.62,1.7839,0.0268,0.00000,0.52230
5.12,0.62,1.7822,0.0171,0.00000,0.46944
5.38,0.62,1.8029,0.0130,0.00000,0.43059
5.62,0.62,1.8197,0.0151,0.00000,0.41565
5.88,0.62,1.8110,0.0191,0.00000,0.39572
6.12,0.62,1.8553,0.0274,0.00000,0.38227
6.38,0.62,1.8694,0.0467,0.00000,0.37639
6.62,0.62,1.6315,0.1949,0.00000,0.34194
6.88,0.62,1.7975,1.7616,0.00000,0.38101
7.12,0.62,2.0075,8.1456,0.00000,0.42567
7.38,0.62,1.4392,18.0119,0.00000,0.31107
2.62,0.88,0.8122,0.0025,0.00000,0.25249
2.88,0.88,1.4906,0.0072,0.00000,0.47210
3.12,0.88,1.8264,0.0194,0.00000,0.60154
3.38,0.88,1.6327,0.0348,0.00000,0.54665
3.62,0.88,1.6508,0.0377,0.00000,0.50363
3.88,0.88,1.7968,0.0297,0.00000,0.50387
4.12,0.88,1.7710,0.0248,0.00000,0.46576
4.38,0.88,1.7918,0.0231,0.00000,0.43335
4.62,0.88,1.8309,0.0219,0.00000,0.41584
4.88,0.88,1.8082,0.0191,0.00000,0.38321
5.12,0.88,1.8360,0.0124,0.00000,0.34807
