x,y,rho,contact,casualty,pressure
2.62,0.12,0.3102,0.0165,0.00000,0.22664
2.88,0.12,0.6161,0.0260,0.00000,0.39886
3.12,0.12,0.8706,0.0337,0.00000,0.50427
3.38,0.12,0.9302,0.0406,0.00000,0.51136
3.62,0.12,1.0256,0.0416,0.00000,0.53567
3.88,0.12,1.1834,0.0361,0.00000,0.57577
4.12,0.12,1.2191,0.0228,0.00000,0.54125
4.38,0.12,1.2274,0.0135,0.00000,0.48970
4.62,0.12,1.2949,0.0094,0.00000,0.46540
4.88,0.12,1.3402,0.0093,0.00000,0.44488
5.12,0.12,1.3229,0.0132,0.00000,0.41994
5.38,0.12,1.2924,0.0180,0.00000,0.39689
5.62,0.12,1.2867,0.0249,0.00000,0.38179
5.88,0.12,1.2844,0.0306,0.00000,0.36951
6.12,0.12,1.3232,0.0210,0.00000,0.36433
6.38,0.12,1.3722,0.0188,0.00000,0.36197
6.62,0.12,1.3440,0.1139,0.00000,0.36115
6.88,0.12,1.3501,1.0748,0.00000,0.38803
7.12,0.12,1.1457,4.8247,0.00000,0.36026
7.38,0.12,0.6875,10.5164,0.00000,0.23441
2.62,0.38,0.5892,0.0229,0.00000,0.38827
2.88,0.38,1.1593,0.0377,0.00000,0.68654
3.12,0.38,1.5640,0.0535,0.00000,0.84706
3.38,0.38,1.4945,0.0661,0.00000,0.79162
3.62,0.38,1.4781,0.0591,0.00000,0.76427
3.88,0.38,1.6392,0.0432,0.00000,0.79547
4.12,0.38,1.6357,0.0310,0.00000,0.72589
4.38,0.38,1.5985,0.0274,0.00000,0.63278
4.62,0.38,1.6586,0.0245,0.00000,0.57960
4.88,0.38,1.6925,0.0245,0.00000,0.52935
5.12,0.38,1.6797,0.0250,0.00000,0.48414
5.38,0.38,1.6767,0.0256,0.00000,0.45891
5.62,0.38,1.6831,0.0261,0.00000,0.44246
5.88,0.38,1.6621,0.0272,0.00000,0.42729
6.12,0.38,1.7020,0.0248,0.00000,0.43113
6.38,0.38,1.7334,0.0393,0.00000,0.43337
6.62,0.38,1.6227,0.1979,0.00000,0.41678
6.88,0.38,1.7290,1.8368,0.00000,0.45694
7.12,0.38,1.6792,8.4618,0.00000,0.46093
7.38,0.38,1.1047,18.6600,0.00000,0.31764
2.62,0.62,0.7547,0.0145,0.00000,0.39942
2.88,0.62,1.4750,0.0273,0.00000,0.73123
3.12,0.62,1.9325,0.0487,0.00000,0.91671
3.38,0.62,1.7384,0.0668,0.00000,0.81666
3.62,0.62,1.6469,0.0553,0.00000,0.73130
3.88,0.62,1.8016,0.0354,0.00000,0.74305
4.12,0.62,1.7793,0.0291,0.00000,0.68056
4.38,0.62,1.7399,0.0330,0.00000,0.59133
4.62,0.62,1.7840,0.0337,0.00000,0.52432
4.88,0.62,1.7897,0.0339,0.00000,0.46352
5.12,0.62,1.7937,0.0274,0.00000,0.42459
5.38,0.62,1.8254,0.0238,0.00000,0.40811
5.62,0.62,1.8516,0.0253,0.00000,0.39206
5.88,0.62,1.8267,0.0274,0.00000,0.37484
6.12,0.62,1.8573,0.0333,0.00000,0.38601
6.38,0.62,1.8785,0.0556,0.00000,0.39486
6.62,0.62,1.6558,0.2258,0.00000,0.35717
6.88,0.62,1.8229,2.0101,0.00000,0.38787
7.12,0.62,2.0208,9.3153,0.00000,0.42115
7.38,0.62,1.4432,20.6127,0.00000,0.30318
2.62,0.88,0.8069,0.0041,0.00000,0.27475
2.88,0.88,1.4696,0.0114,0.00000,0.51482
3.12,0.88,1.7981,0.0297,0.00000,0.65252
3.38,0.88,1.6342,0.0458,0.00000,0.57654
3.62,0.88,1.6722,0.0362,0.00000,0.51457
3.88,0.88,1.8018,0.0203,0.00000,0.51773
4.12,0.88,1.7686,0.0157,0.00000,0.48206
4.38,0.88,1.7982,0.0182,0.00000,0.43705
4.62,0.88,1.8427,0.0198,0.00000,0.39183
4.88,0.88,1.8276,0.0204,0.00000,0.34524
5.12,0.88,1.8490,0.0156,0.00000,0.32099
5.38,0.88,1.8736,0.0169,0.00000,0.31230
5.62,0.88,1.9069,0.0259,0.00000,0.30390
5.88,0.88,1.9181,0.0356,0.00000,0.29183
6.12,0.88,1.9385,0.0452,0.00000,0.29908
6.38,0.88,2.0044,0.0498,0.00000,0.31107
6.62,0.88,1.7299,0.1837,0.00000,0.26438
6.88,0.88,1.8428,1.7702,0.00000,0.27127
7.12,0.88,2.1895,8.2776,0.00000,0.31196
7.38,0.88,1.6482,18.3452,0.00000,0.23369
2.62,1.12,1.0315,0.0020,0.00000,0.18462
2.88,1.12,1.6801,0.0078,0.00000,0.33347
3.12,1.12,1.8365,0.0193,0.00000,0.40833
3.38,1.12,1.7197,0.0259,0.00000,0.37320
3.62,1.12,1.9231,0.0197,0.00000,0.36761
3.88,1.12,1.9867,0.0114,0.00000,0.37444
4.12,1.12,1.9201,0.0067,0.00000,0.35091
4.38,1.12,1.9995,0.0054,0.00000,0.33422
4.62,1.12,2.0358,0.0058,0.00000,0.31341
4.88,1.12,2.0293,0.0063,0.00000,0.28362
5.12,1.12,2.0736,0.0057,0.00000,0.26353
5.38,1.12,2.0621,0.0107,0.00000,0.25189
5.62,1.12,2.0957,0.0217,0.00000,0.25017
5.88,1.12,2.1544,0.0357,0.00000,0.24769
6.12,1.12,2.0854,0.0459,0.00000,0.24256
6.38,1.12,2.1696,0.0392,0.00000,0.25011
6.62,1.12,1.9827,0.2022,0.00000,0.21561
6.88,1.12,2.0566,2.2672,0.00000,0.20869
7.12,1.12,2.4260,10.7064,0.00000,0.23820
