v0,seed,T_evac,J,J_over_v0,N_exited,N_injured,N_stuck,cleared,wall_s
0.8,15,232.161,0.8614711342559689,1.076838917819961,200,0,0,1,3.6
0.8,18,233.448,0.8567218395531339,1.0709022994414172,200,0,0,1,3.35
0.8,17,216.395,0.9242357725455763,1.1552947156819704,200,0,0,1,3.42
0.8,16,222.25050505050507,0.8908866144308906,1.1136082680386132,198,0,2,0,3.68
0.8,19,232.688,0.8595200440074263,1.074400055009283,200,0,0,1,3.63
1.0,0,177.381,1.127516475834503,1.127516475834503,200,0,0,1,3.56
1.0,4,175.167,1.1417675703756986,1.1417675703756986,200,0,0,1,3.5
1.0,2,195.219,1.024490444065383,1.024490444065383,200,0,0,1,3.6
1.0,1,169.147,1.1824034715365925,1.1824034715365925,200,0,0,1,3.68
1.0,10,178.877,1.1180867299876451,1.1180867299876451,200,0,0,1,3.48
1.0,3,174.863,1.143752537700943,1.143752537700943,200,0,0,1,3.66
1.0,5,175.046,1.1425568136375581,1.1425568136375581,200,0,0,1,3.61
1.0,7,183.854,1.0878196830093443,1.0878196830093443,200,0,0,1,3.69
1.0,8,181.451,1.1022259452965264,1.1022259452965264,200,0,0,1,3.69
1.0,6,176.001,1.136357179788751,1.136357179788751,200,0,0,1,3.71
1.0,9,180.836,1.1059744741091375,1.1059744741091375,200,0,0,1,3.67
1.0,11,174.461,1.1463880179524362,1.1463880179524362,200,0,0,1,3.44
1.0,12,186.474,1.072535581367912,1.072535581367912,200,0,0,1,3.46
1.0,13,188.158,1.0629364682872906,1.0629364682872906,200,0,0,1,3.62
1.0,14,189.062,1.0578540372999332,1.0578540372999332,200,0,0,1,3.67
1.0,15,179.636,1.1133625776570397,1.1133625776570397,200,0,0,1,3.7
1.0,16,195.843,1.0212261862818688,1.0212261862818688,200,0,0,1,3.53
1.0,17,178.882,1.118055477912814,1.118055477912814,200,0,0,1,3.47
1.2,1,144.581,1.383307626866601,1.1527563557221674,200,0,0,1,3.42
1.0,18,176.557,1.1327786493880163,1.1327786493880163,200,0,0,1,3.55
1.2,0,147.24,1.3583265417006247,1.1319387847505207,200,0,0,1,3.5
1.2,2,161.097,1.241488047573822,1.034573372978185,200,0,0,1,3.5
1.2,4,150.318,1.330512646522705,1.108760538768921,200,0,0,1,3.42
1.2,5,151.46,1.3204806549584047,1.1004005457986707,200,0,0,1,3.52
1.0,19,186.697,1.0712544925735281,1.0712544925735281,200,0,0,1,3.7
1.2,6,155.155,1.2890335470980632,1.0741946225817194,200,0,0,1,3.57
1.2,3,154.98,1.2904890953671442,1.0754075794726201,200,0,0,1,3.75
1.2,7,155.106,1.2894407695382513,1.0745339746152094,200,0,0,1,3.62
1.2,9,164.047,1.219162800904619,1.015969000753849,200,0,0,1,3.44
1.2,8,151.692,1.3184610922131688,1.0987175768443074,200,0,0,1,3.7
1.2,10,149.401,1.3386791253070593,1.1155659377558829,200,0,0,1,3.44
1.2,11,156.069,1.2814844716119154,1.067903726343263,200,0,0,1,3.56
