corner_r,lam,n_seeds,door_rho_steady_mean,door_rho_steady_ci95,door_rho_peak_mean,door_rho_peak_ci95,corner_rho_mean,corner_rho_ci95,door_contact_p95_mean,door_contact_p95_ci95,door_contact_max_mean,door_contact_max_ci95,crush_frac_mean,crush_frac_ci95,casualties_mean,casualties_ci95,corner_contact_p95_mean,corner_contact_p95_ci95,corner_contact_max_mean,corner_contact_max_ci95,corner_crush_frac_mean,corner_crush_frac_ci95,corner_casualties_mean,corner_casualties_ci95,door_outflow_mean,door_outflow_ci95,inflow_rate_mean,inflow_rate_ci95,mean_n_mean,mean_n_ci95
0.0,8.0,15,6.8654,0.2985,8.9041,0.373,5.6381,0.2303,300.7133,23.1347,551.3733,35.3032,0.0418,0.0054,9.1647,1.213,164.8,9.5793,452.66,38.1273,0.0351,0.0049,0.9333,0.1307,1.9031,0.1662,3.2395,0.1644,528.3867,2.2467
0.25,8.0,15,7.3418,0.5032,9.1473,0.4508,4.4594,0.0807,289.6467,19.9862,526.7667,27.6203,0.0368,0.006,10.5227,1.6829,128.0667,5.3053,219.26,9.5492,0.0,0.0,0.0,0.0,1.9481,0.1891,3.2795,0.1847,526.2133,3.4938
0.5,8.0,15,7.1396,0.281,8.8859,0.4334,4.4115,0.0976,293.5333,17.5647,527.2933,18.9766,0.0403,0.0054,11.3293,1.6887,131.9267,6.1029,226.5733,12.7066,0.0,0.0,0.0,0.0,1.8989,0.2345,3.2283,0.224,527.84,3.8738
1.0,8.0,15,7.342,0.3706,8.9327,0.3264,4.6233,0.1347,300.5333,18.0335,531.4533,22.2106,0.0431,0.0044,12.3813,1.3898,133.12,7.961,226.9867,12.3521,0.0,0.0,0.0,0.0,1.9153,0.3016,3.2511,0.2921,530.2267,4.3843
1.5,8.0,15,7.1095,0.3475,9.1445,0.4957,4.4764,0.0739,294.1933,18.2175,528.6133,35.4731,0.0419,0.007,10.3427,1.9471,127.56,4.6049,219.66,10.9828,0.0,0.0,0.0,0.0,1.9559,0.2252,3.2901,0.2185,528.8133,3.7485
2.0,8.0,15,7.2516,0.3138,9.0349,0.432,4.7717,0.1447,295.5133,18.2819,517.48,17.2136,0.041,0.0052,11.2767,2.1185,130.44,6.7325,225.0067,11.7553,0.0,0.0,0.0,0.0,1.7859,0.2032,3.1325,0.1969,532.9533,3.3962
